"ambig.glial_A_1vAll","ambig.glial_A_pw","ambig.glial_B_1vAll","ambig.glial_B_pw","Aqp4.Rbpms_A_1vAll","Aqp4.Rbpms_A_pw","Aqp4.Rbpms_B_1vAll","Aqp4.Rbpms_B_pw","Astro_A_1vAll","Astro_A_pw","Astro_B_1vAll","Astro_B_pw","Astro.OPC_COP_1vAll","Astro.OPC_COP_pw","drop.doublet_1vAll","drop.doublet_pw","drop.lowNTx_1vAll","drop.lowNTx_pw","Endo_A_1vAll","Endo_A_pw","Endo_B_1vAll","Endo_B_pw","Excit_A_1vAll","Excit_A_pw","Excit_B_1vAll","Excit_B_pw","Excit_C_1vAll","Excit_C_pw","Excit_D_1vAll","Excit_D_pw","Excit_E_1vAll","Excit_E_pw","Excit_F_1vAll","Excit_F_pw","Excit_G_1vAll","Excit_G_pw","Inhib_A_1vAll","Inhib_A_pw","Inhib_B_1vAll","Inhib_B_pw","Inhib_C_1vAll","Inhib_C_pw","Inhib_D_1vAll","Inhib_D_pw","Inhib_E_1vAll","Inhib_E_pw","Inhib_F_1vAll","Inhib_F_pw","Inhib_G_1vAll","Inhib_G_pw","Inhib_H_1vAll","Inhib_H_pw","Micro_1vAll","Micro_pw","Mural_A_1vAll","Mural_A_pw","Mural_B_1vAll","Mural_B_pw","Neuron.mixed_A_1vAll","Neuron.mixed_A_pw","Neuron.Ppp1r1b_1vAll","Neuron.Ppp1r1b_pw","Oligo_A_1vAll","Oligo_A_pw","Oligo_B_1vAll","Oligo_B_pw","OPC_1vAll","OPC_COP_1vAll","OPC_COP_pw","OPC_pw"
"Ttll6","Jhy","Slc38a11","Slc38a11","Crocc2","BC051019","Wdr49","","Slc1a2","Cpe","Dnah12","","Slc6a11","Slc6a11","Prr5l","","Gm42418","Gm42418","Slco1a4","","Adgrl4","Wfdc1","Ebf3","Adgrd1","Ntng1","Cpne7","Satb2","Hs3st4","D130079A08Rik","D130079A08Rik","Ebf2","Ebf2","Tfap2d","Tfap2d","Slc17a7","Gm49678","Foxp2","Gm49906","2610307P16Rik","Igfbpl1","Gm31218","Gm31218","Unc5d","Baiap3","Gm12068","Gm12068","Rarb","Caln1","Lgr5","Lgr5","Rbm20","A830036E02Rik","Arhgap45","Arhgap45","Slc6a13","Slc6a13","Slc47a1","Slc47a1","Gm34544","Gm34544","Tmem72","Tmem72","Prr5l","Prr5l","Sytl2","Opalin","Pdgfra","Enpp6","Enpp6","Pdgfra"
"Ccdc180","Ube2u","Tbx3os1","Tbx3os1","Dthd1","Capsl","Frmpd2","","Prex2","Tspan7","Cfap299","","Lrig1","Atp13a4","St18","","Cmss1","Ckb","Flt1","","Slco1a4","She","Ebf2","Samd3","Ptpn3","Zfp804b","Tmem178","Tmem178","Robo3","Robo3","4930438E09Rik","4930438E09Rik","Abi3bp","Abi3bp","Gm49678","Synpo","Gm49906","Vwc2l","Dlx6os1","Dlx1","Moxd1","Moxd1","Dscam","","Pkib","Pkib","Cacna2d3","Gm10754","Cpa6","Cpa6","Slc22a3","Slc22a3","Inpp5d","Gm2629","Aox3","Aox3","Slc26a7","Slc26a7","Slc17a7","1700016P03Rik","Lmx1a","Lmx1a","St18","Anln","Opalin","Tnni1","Cspg4","Bmp4","Bcas1os2","Emid1"
"Frmpd2","Ttll6","Carmn","Carmn","Frmpd2","Lrrc34","Dnah12","","Slc1a3","Slc1a2","Rgs22","","Itih3","Etnppl","Sec14l5","","Tmsb4x","Cst3","Adgrl4","","Nostrin","Gata2","Postn","Postn","Synpo2","Ptpn3","Hs3st4","Satb2","D130009I18Rik","D130009I18Rik","Ebf3","1700120O09Rik","Ndst4","Ndst4","Itga8","","6530403H02Rik","6530403H02Rik","Igfbpl1","Dlx6os1","Col19a1","Col19a1","Trpc4","","Stac","Prkar2b","Rgs9","Rarb","Frmd7","Frmd7","A830036E02Rik","Rbm20","Gm2629","Fyb","Slc6a20a","Lama1","Prdm6","Prdm6","Cnih3","","Gmnc","Gmnc","Sec14l5","Mast4","Mog","Nipal4","Neu4","9630013A20Rik","9630013A20Rik","Megf11"
"Dthd1","Gm36033","Abcc9","Atp13a5","Unc5cl","Casc1","Wdr63","","Wdr17","Rgs20","Dnah6","","Atp13a4","Itih3","D7Ertd443e","","Cst3","Cox4i1","Mecom","","Adgrf5","Gm35572","Adgrd1","Slit1","Lef1","Gm32647","Rai14","Prss12","Nwd2","Nwd2","1700120O09Rik","Ebf3","Tafa1","5730522E02Rik","Sv2b","","Tshz1","Gm48893","Gm38505","Ccnd2","Kcnmb2","Kcnmb2","Usp29","","Drd3","Drd3","Camk4","Camk4","Adamts19","Adamts19","Ust","4930452B06Rik","Fyb","Inpp5d","Cped1","Ranbp3l","Prg4","Prg4","Sidt1","","Wdr86","Wdr86","D7Ertd443e","Hapln2","St18","Cldn11","Emid1","Bcas1os2","Gpr17","Cspg4"
"Spag17","Gm5432","Atp13a5","Slc16a12","2010001K21Rik","Musk","Unc5cl","","Plpp3","Gldc","Wdr49","","Nhsl1","Ptch1","Aspa","","Ttr","Gapdh","Ptprb","","Flt1","Srarp","4930438E09Rik","Tenm3","Kcnc2","Ano5","Prss12","Grik3","Chrna3","Scube1","Cpne9","Ak5","Crtac1","A230077H06Rik","Satb2","","Vwc2l","Lypd1","Dlx1","Tiam2","Nxph1","Gpr176","Snhg11","","Gpr149","Stac","Caln1","Plppr1","Pcbp3","Vipr2","Wnt2","Cdh9","Runx1","Runx1","Foxd1","Tmtc4","Bnc2","Bnc2","Dpp10","","Slc4a5","Slc4a5","Aspa","Gm37459","Creb5","Erbb3","Sema3d","Gpr17","Rinl","Plpp4"
"Gm12695","Tex26","Slc6a20a","Adap2","Lrrc36","Rassf9","Ccdc180","","Mertk","4930488L21Rik","C230072F16Rik","","Ptch1","Slc4a4","Mog","","Calm1","Mt3","Adgrf5","","Cyyr1","AU021092","Samd3","Gm42303","Cpne7","Htr7","9130024F11Rik","Hs3st2","Scube1","Chrna3","Corin","Gm30382","Pcsk5","Arhgap15","Tafa1","","Otof","Gabrg3","Ccnd2","Nol4","Maf","Cntnap3","Lingo2","","Htr4","Tcerg1l","Gm10754","Cpne5","Vipr2","Pparg","Tll1","Krt12","Ptprc","Ptprc","Slc13a4","Slc7a11","Gm12840","Gm12840","Etl4","","Col8a1","Kl","Mog","C030029H02Rik","Tspan2","Tspan2","A930009A15Rik","Ppfibp1","Tns3","Vxn"
"Cdhr3","Gm12695","Slc16a12","Pdgfrb","Gm10714","Scn7a","Cfap299","","Dtna","Slc1a3","Wdr63","","Etnppl","Gm6145","Plp1","","Ckb","Cox6c","Abcb1a","","Ptprb","Zfp366","Corin","Adamts18","Mctp2","Grid2ip","Hs3st2","9130024F11Rik","Clec18a","Clec18a","Gm11418","Gm11418","Slc17a7","Lmo3","Dpp10","","Alk","","Zfp704","Tox3","Il1rapl2","Nxph1","Fam155a","","Syt6","Ahr","Arhgap10","Pde1b","Pparg","Lgr6","Slco5a1","Sv2c","Siglech","Siglech","Lama1","Eya1","Car13","Car13","Ryr2","","Kl","4933429O19Rik","Mag","Trf","Gm10863","Prima1","Shc4","Rinl","Gm36988","Lhfpl3"
"Wdr49","Usp43","Adap2","Il34","Dnah12","Tctex1d4","2010001K21Rik","","Rorb","Farp1","Tmem212","","Trpm3","Camk2g","Gjc3","","Hspa8","Rplp1","Egfl7","","Zfp366","Nostrin","Ctxn3","Ephb2","Cit","Cntn6","Arhgap25","Khdrbs3","Syt9","Syt9","Il1rapl2","Il1rapl2","Arhgap15","Nectin1","Ndst3","","Adarb2","","Tmem131l","C79798","Cemip","Gm47027","Baiap3","","Col11a1","Gpr149","Slit3","Mei4","Lgr6","Dync1i1","4930452B06Rik","Necab1","Dock8","Csf3r","Uaca","4930594M22Rik","Tspan11","Tspan11","Homer1","","Col4a3","Col4a3","Gjc3","4930419G24Rik","Cldn11","Sytl2","Vcan","Neu4","Bcas1","Cacng4"
"Crocc2","Tcte1","Egflam","Egflam","Wdr49","","Armc4","","Cpe","9430041J12Rik","Frmpd2","","Lhfp","Lrig1","Pde8a","","Gapdh","Cmss1","Cyyr1","","Klf2","Cdh5","B130024G19Rik","Gpr45","Inpp4b","Cit","Khdrbs3","Neurod2","Gm12128","Gm12128","Sema3a","Hcrtr2","Ndst3","Tafa1","Rtn4r","","Pbx3","","Nol4","Mpped2","Kcnc2","Lhx6","Meg3","","Prkar2b","Scn5a","Lrtm1","Shisa9","Myo16","Gng4","Dpp10","Otof","Csf3r","Gm10790","Slc22a8","Apod","Tbx15","Gm5860","4930447C04Rik","","4933429O19Rik","Oca2","Trf","Edil3","Mag","Kndc1","Ppfibp1","Bcas1","Gm13187","Epn2"
"Zfp474","Ttll10","Adap2os","Dock6","Ccdc180","","Lrrc36","","Acsl3","Dtna","Ak7","","Slc4a4","Fam20a","Trf","","Rplp1","Slc25a4","Ushbp1","","Clic5","Gimap6","Sema3a","Rab11fip4","Ano5","Gabra4","Dpp10","Kcnmb4","Tex15","Chat","5530401A14Rik","Lhx1","Nell1","Ndst3","Syt17","","Olfm3","","Adarb2","Plppr3","Grip1","Coro6","5330434G04Rik","","Isl1","Sox1ot","Kcnq5","Gm10848","Gng4","Frmd3","Necab1","Slco5a1","Gm10790","Ikzf1","Eya2","Bmp6","Trabd2b","Trabd2b","Galnt9","","Oca2","Gm534","1700047M11Rik","","Tnni1","Mog","Megf11","Tns3","Rhbdl2","Xylt1"
"2010001K21Rik","Crnde","Vtn","Dlc1","Wdr63","","Rgs22","","Bmpr1b","Rorb","Cfap61","","Slc39a12","Ndrg2","Ugt8a","","Cox4i1","Calm2","Cldn5","","Abcb1a","Rgs5","5530401A14Rik","Nefm","Slc17a6","Ccdc136","Etl4","Gm17171","Chat","Necab3","Ctxn3","5530401A14Rik","Mpped1","Lrrtm4","Kcnh7","","Gabrg3","","Dlx1as","C130071C03Rik","Gpr176","Grip1","Snhg14","","Sgcd","Wdfy3","Gng7","Spock3","Kcnb2","Nrip3","Casz1","Wnt2","Ly86","Selplg","Arhgap29","Ptgds","Gm5860","Tbx15","Grin2a","","Rbm47","Trpv4","Fa2h","","Fa2h","Padi2","Vxn","Inava","Bmp4","Itga9"
"Unc5cl","Wdr93","Dock6","Adap2os","Rgs22","","C230072F16Rik","","Slco1c1","Gli3","Cfap65","","Plce1","Gpld1","C030029H02Rik","","Fau","Aldoa","Klf2","","Rasip1","Gch1","Epha3","Prkcb","Vav3","Adgra1","Slc17a7","Mmp16","Necab3","1700003F12Rik","Pgm5","Cdh12","Nwd2","Sidt1","Kcnj6","","Thsd7b","","Sox2ot","Dlx1as","Mkx","Galntl6","Fstl5","","Crtac1","Npy1r","Gnal","Sh2d5","Ablim3","Myo16","Otof","Gm1604a","Selplg","Dock8","Cp","Ston1","Slc9a2","Adamtsl3","Gm20642","","Gm534","Kcne2","Plp1","","1700047M11Rik","Rtkn","Itga9","Gm36988","Fyn","Stk32a"
"Ttc29","Cabcoco1","Rbpms","Notch3","Ak9","","Fam216b","","Gli3","Acsl3","Ccdc180","","Camk2g","Gm9925","Pstpip2","","Mt3","Apoe","Nostrin","","Cldn5","Gm609","Gm11418","Eps8","Zmat4","Scn9a","Neurod2","Igsf21","1700003F12Rik","Kcnma1","Lhx1os","Tmem132c","Sidt1","E130114P18Rik","Nwd2","","Grin2a","","Pbx3","Ezh2","Grip1os2","Tafa2","Ryr2","","Ahr","Pde11a","Adamts3","Traip","Ptpro","Kcnj3","Htr4","Ndrg4","Ikzf1","Apbb1ip","Ranbp3l","Uaca","Gm49497","Gm49497","Gria3","","Trpv4","Gm50011","Ugt8a","","Ugt8a","Sh3gl3","Epn2","Rhbdl2","Inava","Shc4"
"Lrrc36","Caps2","Ebf1","Abcc9","Spag17","","Dnah3","","Nwd1","Ddah1","Spag17","","Gm6145","Gm20713","Plekhh1","","Ubb","Nrgn","Paqr5","","Cdh5","Tbx3","Pgm5","Prkg2","Grid2ip","Ptpn4","Col12a1","4933432K03Rik","Ano1","Ano1","Lhx1","Epha4","Itga8","C1ql3","Cabp1","","Slc35f1","","C79798","Pola1","Elavl2","Gria4","Ube3a","","Tcerg1l","Htr4","Pdzd2","Kcnq5","Cpne4","Ppm1e","Esrrg","Lrrk2","Myo1f","Ly86","Bmp6","Adam12","Adamtsl3","Slc9a2","Epha10","","Kcne2","Abca4","Pde8a","","Kndc1","Ninj2","Xylt1","Ust","Arhgap24","Gm2164"
"Dnah12","Pih1h3b","Dlc1","Slc6a20a","Lmntd1","","Cdhr3","","Gm6145","Scg3","Ttc21a","","Gpc5","Gm3764","Arhgap23","","Pcp4","Mt1","Abcg2","","Mecom","Rasip1","Prkg2","Ptprd","Nell1","Mctp2","Cntnap4","Fut9","Tspan18","Tex15","B130024G19Rik","Sema3a","Emid1","L3mbtl4","Nell2","","Adamts3","","Gm4258","Ccdc88a","Cntnap4","Erbb4","Gm32509","","Pde11a","Syt6","Prkch","Kif17","Dync1i1","Inpp5j","Sipa1l2","Hs6st3","Apbb1ip","Myo1f","4930594M22Rik","Lrrk1","Piezo2","Kcnk5","Nrg3os","","Fap","Rbm47","Plekhh1","","Plekhh1","Gm48508","Lhfpl3","Kif19a","Cnksr3","Matn4"
"Cfap77","Zfp474","Itga1","P2ry14","Fbxl13","","Spag17","","Atp1a2","Prex2","Gm10714","","Sparcl1","Gpc5","Rnf220","","Hsp90ab1","Fth1","Esam","","Sox17","Srgn","Clstn2","Cacng5","Gm29478","Ntng1","Gm17171","Etl4","Cpne9","Vav3","Postn","Pgm5","Sv2b","Me3","Sidt1","","Lypd1","","Sdk2","Gm38505","Rnf144b","Las1l","Nhs","","Pde1a","Ntng2","Sh3rf2","Lrrtm3","Kank3","Pla2g3","Cdh9","Gm1604b","Cyth4","Cyth4","Colec12","Clmp","Kcnk5","Gm6260","R3hdm1","","Gm50011","Otx2os1","Pstpip2","","Mobp","Pak7","Tnr","Gm13187","Kif19a","Myt1"
"4930567H12Rik","Dpy19l2","Colec12","Cald1","Cdhr3","","Dnah6","","Farp1","Mgll","Unc5cl","","Fam20a","Cyp2j9","1700047M11Rik","","AY036118","Pcsk1n","Ly6c1","","Cxcl12","Sox18","Shisa6","Kcnj6","Rnf220","Cacna1g","Grik3","Cdh13","Vav3","Cacnb3","Epha3","Cpne9","A230077H06Rik","Pcsk5","Grin2a","","Erbb4","","Tiam2","Tubb3","Gm47027","Kcnc1","Lrfn5","","Npy1r","Pde1a","Adcy5","Dgkb","Frmd3","Kcnk12","Sv2c","Sh3rf2","Cd84","Cd84","Lrrk1","Hlf","Myzap","Piezo2","Csmd2","","Abca4","Col8a1","C030029H02Rik","","Elovl7","2810468N07Rik","Plpp4","Bfsp2","Dusp15","6330576A10Rik"
"Fbxl13","Gm11992","Phldb2","Gm15261","Dnah10","","Gm10714","","Tspan7","Id4","3300002A11Rik","","Gpld1","Cep85l","Enpp2","","Aldoa","Ldhb","Igfbp7","","Xdh","Clic5","Grm8","4921534H16Rik","Ccdc136","4930509J09Rik","Sdk2","Glra2","Cpne4","Minar1","Shisa6","Lhx1os","Ext1","F730043M19Rik","Kcnt2","","Gprin3","","Tox3","Sox11","Vwc2","Rab27b","Nrg3","","Ntng2","Col11a1","Phactr1","Gm13269","Synpr","Gad1","Gucy1a1","Ppp1r2","Nckap1l","Nckap1l","Cgnl1","Prkag2","Gm6260","Myzap","Agbl4","","Cdh3","Cdh3","Zfp536","","Nipal4","Rnf220","Calcrl","Cnksr3","9530059O14Rik","Vcan"
