"ambig.glial_A_1vAll","ambig.glial_A_pw","ambig.glial_B_1vAll","ambig.glial_B_pw","Aqp4.Rbpms_A_1vAll","Aqp4.Rbpms_A_pw","Aqp4.Rbpms_B_1vAll","Aqp4.Rbpms_B_pw","Astro_A_1vAll","Astro_A_pw","Astro_B_1vAll","Astro_B_pw","Astro.OPC_COP_1vAll","Astro.OPC_COP_pw","drop.doublet_1vAll","drop.doublet_pw","drop.lowNTx_1vAll","drop.lowNTx_pw","Endo_A_1vAll","Endo_A_pw","Endo_B_1vAll","Endo_B_pw","Excit_A_1vAll","Excit_A_pw","Excit_B_1vAll","Excit_B_pw","Excit_C_1vAll","Excit_C_pw","Excit_D_1vAll","Excit_D_pw","Excit_E_1vAll","Excit_E_pw","Excit_F_1vAll","Excit_F_pw","Excit_G_1vAll","Excit_G_pw","Inhib_A_1vAll","Inhib_A_pw","Inhib_B_1vAll","Inhib_B_pw","Inhib_C_1vAll","Inhib_C_pw","Inhib_D_1vAll","Inhib_D_pw","Inhib_E_1vAll","Inhib_E_pw","Inhib_F_1vAll","Inhib_F_pw","Inhib_G_1vAll","Inhib_G_pw","Inhib_H_1vAll","Inhib_H_pw","Micro_1vAll","Micro_pw","Mural_A_1vAll","Mural_A_pw","Mural_B_1vAll","Mural_B_pw","Neuron.mixed_A_1vAll","Neuron.mixed_A_pw","Neuron.Ppp1r1b_1vAll","Neuron.Ppp1r1b_pw","Oligo_A_1vAll","Oligo_A_pw","Oligo_B_1vAll","Oligo_B_pw","OPC_1vAll","OPC_COP_1vAll","OPC_COP_pw","OPC_pw"
"Wdr63","Fam149a","Pdgfrb","Arhgap42","Dnah3","","Hydin","","Rgs20","Glul","Lrrc36","","Gm3764","Cables1","Plcl1","","Rpl38","Chchd10","Clec2d","","Emcn","Cyyr1","Tenm3","","Zfp804b","Kidins220","Csmd2","Pdzrn4","Kcnma1","Kctd8","Ebf1","Raph1","C1ql3","Cnr1","Mkx","","Slc2a13","","Gm26936","Adarb2","Cntnap3","Rims4","Cacna2d2","","Gpr26","Sgcd","Ryr3","Ppp3ca","Ppm1e","Apc","Mme","Gucy1a1","Abca9","Csf1r","Adam12","Col4a5","Eya2","Cdh1","Nrg3","","Slc13a4","D630024D03Rik","Enpp2","","Ninj2","Kcna6","Arhgap31","Abtb2","Ppfibp1","Mir9-3hg"
"Gm10714","Efhc1","Il34","Ctdspl","Ttc29","","Ttc29","","Gpc5","Ttyh3","2010001K21Rik","","Pitpnc1","Fgfr3","Tspan2","","Rps29","Atp6v0c","Clic5","","Robo4","Fmo2","Nrp2","","Cacna1g","Rims3","Zfpm2","Gm26871","Kctd8","Klhl1","Ak5","Cntnap5a","5730522E02Rik","Gm2824","Sphkap","","Pcdh15","","Mpped2","Gm26936","A530058N18Rik","Grip1os2","Ralyl","","Wdfy3","Cacng3","Neto1","Syndig1","Chrm2","Pcbp3","Gpr26","Adamts3","Unc93b1","Unc93b1","Phldb2","Cped1","Cdh1","Olfr1033","Nyap2","","Otx2os1","Fap","A230001M10Rik","","Gjc3","Klhl2","6330576A10Rik","Fyn","Gm13052","Dpyd"
"Dnah3","Fam221a","Cgnl1","Lamc1","Dnah6","","Tmem212","","S1pr1","Plpp3","Ak9","","Cables1","Acsbg1","Zfp536","","Actb","Ndufa4","Hmcn1","","Ushbp1","Robo4","Tmem163","","Btbd11","Hrh3","Sv2b","Csmd2","Minar1","Cadps2","Tmem132c","Chrm2","Xylt1","Cabp1","C1ql3","","Gm1604a","","Sox4","Nasp","Coro6","Frmpd3","Gria4","","Nrp2","Furin","Plppr1","Kcnip2","Nrip3","Ablim3","Zfp618","Mme","Fgd2","Fcrls","Cfh","Cp","Fbxl7","Ahnak2","Khdrbs3","","Eps8l2","Eps8l2","Edil3","","Rnf220","Mcam","Cacng4","Arhgap24","Abtb2","Ptprz1"
"Ttc21a","Got1l1","Notch3","Myo1b","Cfap299","","Ak7","","Sfxn5","Prdx6","Dnah3","","Gm20713","Phka1","Fa2h","","Apoe","Ndufa13","Eng","","Rgs5","Cxcl12","Epb41l4a","","Cntn6","Rims1","Cdh13","Spock1","Vav2","Pou6f2","Nell1","Nell1","Cnih3","Plcxd3","Pcsk5","","Meis2","","Dcx","Jpt1","Osbpl3","Ptchd4","Rian","","Gm45904","Isl1","Pde1b","Kcna4","Cntnap4","Kcnb2","Fras1","Drd1","Csf1r","Fgd2","Tmtc4","March6","Olfr1033","Ccn3","Kcnt2","","D630024D03Rik","Folr1","Mobp","","Gal3st1","Creb5","Myt1","Tmem108","Srpk3","Zeb1"
"Ak9","Dnaaf1","Cald1","","Ttc21a","","Dnah11","","Gldc","Ctnnd2","Hydin","","Kank1","Paqr8","Mbp","","Chchd2","Atp5b","Zfp366","","Ly6c1","Sox17","4921534H16Rik","","Gm13629","Shc3","Mmp16","Rab26","Cadps2","Kcnip1","Clstn2","Fstl5","Lmo3","Rnf165","St8sia5","","Sphkap","","Dpysl3","Nfib","Lhx6","Sh3rf3","Dgkg","","Sox1ot","Rragb","Mctp1","Gnal","Kcnj3","Ccsap","Gpr149","Kctd16","Fcrls","Itgam","Ddr2","","Ahnak2","Slc9b2","Rims1","","Drc7","Prlr","Map7","","Zfp536","Mag","Gm4876","Dusp15","4933423P22Rik","Lrrc4c"
"Dnah6","Dnah7a","Cped1","","4930567H12Rik","","Cfap77","","Ptprz1","Fam107a","Dthd1","","Ndrg2","Pla2g7","Mag","","Mt1","Mdh1","Rasip1","","Srarp","Ctla2a","Sema5a","","Hdac9","Ero1lb","Mpped1","Nos1ap","Cacnb3","Gfra1","Cdh12","Kcnh5","Cdh6","St8sia5","Fhl2","","8030451O07Rik","","Robo2","Zfp704","Galntl6","Ankrd55","Nkain3","","Sntb1","Pcdh11x","Ablim2","Lzts3","Pla2g3","Ppfia2","Lrrk2","Tbc1d30","Itgam","Bin2","Eya1","","Foxd1","Fbxl7","Cacna1a","","Baiap2l1","Htr2c","Anln","","Prima1","Plekha1","Matn4","Pik3r3","Nkx2-2","Dscam"
"Rgs22","Nme9","Myo1b","","Armc4","","3300002A11Rik","","Nckap5","Lix1","Dnah11","","Atp1a2","Ntsr2","Edil3","","Ppia","Cox7b","Pecam1","","Foxq1","Xdh","Pcsk1","","Nell1os","Gm13629","Kcnmb4","Zfpm2","Gm29478","Cpne4","Chrm2","Asic2","E130114P18Rik","Dok6","Plekhg5","","Robo1","","Bcl11a","Dclk2","Etl4","Plxna4os3","Cep112","","Furin","Gm45904","Kcnab1","Camkv","Pbx3","Snx7","Krt12","Sptb","Bin2","Gna15","Ston1","","Ccn3","Gm26740","Dlk2","","Col4a4","Esrrb","Arhgap23","","Sec14l5","Atp8b1","Armh4","Plxnb3","9130019P16Rik","Nrxn2"
"Cfap61","Ttll13","Igfbp7","","Hydin","","Vwa3a","","Msi2","Tprkb","Ttc29","","Npas3","Grk3","Mast4","","Fth1","Rps23","Erg","","Gata2","Foxq1","Ntng1","","Vwc2","Rab3c","Vxn","Ldb2","Kcnip1","Necab2","Asic2","Astn2","Cabp1","Kcnd3","Khdrbs3","","Oprm1","","Nfib","Astn1","Tmem132c","Mkx","Scn9a","","Rreb1","Greb1l","Pde7b","Ptpn5","Tshz1","Abl2","Isl1","Gpr158","Abi3","Abi3","Gm29683","","Gm26740","Eya2","Unc13a","","Folr1","Col4a4","4930420G21Rik","","Pstpip2","Mobp","Kcnh8","Mpzl1","Pik3r3","Kcnip3"
"Adgb","Ccdc180","Arhgap29","","C230072F16Rik","","Ak9","","Htra1","Cbs","Ccdc146","","Fry","Nhsl1","Phlpp1","","Eef1a1","Uqcrq","Sp100","","Gm609","Emcn","Gm12296","","4930509J09Rik","Rnf112","Frmpd4","Sel1l3","Nr4a2","Gabbr2","Tmem163","Epha3","Gm2824","Ext1","Ankrd33b","","Chn2","","Maml3","Kat6b","Alk","Alk","Tro","","Zmat4","Gm15577","Foxp1","Cacnb2","Kcnk12","Zfp385b","Fat3","Pdia5","Slco2b1","P2ry6","Bicc1","","Slc9b2","Gm49267","Dlgap2","","Slc6a20a","F5","Mbp","","Phldb1","Ugt8a","Dscam","Sirt2","Bfsp2","4930445B16Rik"
"4833427G06Rik","Gm28729","Trpc3","","Dnah11","","Fbxl13","","Paqr8","Htra1","Cfap43","","Cep85l","Ahcyl1","Slc24a2","","Hsp90aa1","Atp5md","Emcn","","Gch1","Icam2","4930511M06Rik","","Htr7","Epb41l4b","Dlc1","Gm43507","Gm27151","Tspan18","4930527B05Rik","Shisa6","Syt17","Gm19938","Clstn2","","Gm38505","","Meis2","Sox2ot","Adamts17","Dlgap2","C530008M17Rik","","Scn5a","Glt1d1","Pde1c","Npas2","Dcx","Ppp1r12b","Gm1604a","Fam49a","Gna15","Mir142hg","Tgfbr3","","Bmp5","Slc26a2","Hs3st2","","Esrrb","Slc13a4","Slc24a2","","Plp1","Bin1","Sox10","Nfasc","Sirt2","Gm32509"
"Lmntd1","Tctex1d1","Cp","","4833427G06Rik","","Adgb","","Nfia","Fgd6","Cfap77","","Paqr8","Sparcl1","Car2","","Cox6c","Atp5k","Xdh","","Ly6a","Klf2","Asic2","","Nxph1","Tox","Sel1l3","St6gal2","Lrrc3b","Plch2","Qrfprl","4930527B05Rik","Pdzrn3","Gm28307","Ryr2","","Ryr1","","Vcan","Ptbp2","Kcnc1","Adamts17","Pcdh15","","Thsd7b","Gm26691","Lmo7","Gm15810","Epha3","Rasa2","Hcn1","C78859","P2ry6","Gm50035","Maf","","Fn1","Slc12a7","1700016P03Rik","","Arhgap28","Msx1","St6galnac3","","Lpar1","Ano4","Nxph1","5830418P13Rik","5830418P13Rik","Gm29514"
"Dnah10","Pyroxd2","Nr2f2","","Cfap221","","Ccdc146","","9430041J12Rik","Sesn3","Vwa3a","","Phyhd1","Ednrb","Map7","","Rps27a","Rps29","Slc7a5","","Egfl7","Adgrf5","Chrm2","","Kcnip4","Slc17a6","Sdk1","Serpini1","Ebf1","Cdca7l","Trpc3","Nell1os","St8sia5","Cacng8","Mef2c","","Tiam1","","Syne2","Meis2","Erbb4","Iqsec1","Cdh18","","Gm38505","Negr1","Fstl4","Rnf150","Ipcef1","Gabra5","Col11a1","Abcb9","Mir142hg","Lcp2","Rai14","","Mrc2","Slc35g1","Ralyl","","Col9a3","Slc29a4","Tubb4a","","Tubb4a","Zfp536","Abtb2","Tmem163","Ptprj","Lnx1"
"Cfap299","Gm867","Ror1","","Tmem212","","Cfap61","","Lama2","","Cdhr3","","Slc7a10","Slc39a12","Tubb4a","","Rpl37","Pcp4","Cxcl12","","Erg","Adgrl4","Tshz2","","Gm20754","Gas2","Cdh18","Prickle1","Gfra1","Tacr1","Gm30382","C130073E24Rik","Bmpr1b","Sorcs2","Galnt9","","Runx1t1","","Myt1","Smarcc1","Grik1","Stau2","Grb10","","Fstl1","Ftx","Baiap2","Gm45159","Gad1","Cacna1c","Chn2","Rasgrp1","Adap2","Blnk","Nr2f2","","Slc35g1","Dock5","Kcnj6","","Prlr","Col9a3","Rnf220","","Erbb3","Micall1","Gjc3","Gm10863","Itpr2","Gpt2"
"Lrrc71","Gm29266","Arhgap42","","Ak7","","Cfap65","","Glul","","Ccdc162","","Phka1","Slc6a1","A230001M10Rik","","Tpt1","Stmn3","Ly6a","","Eng","Foxf2","Gm42303","","Atp10a","Pdp1","Galnt9","Celf4","Plch2","Vav2","Nr2f2","Gabrb2","Garnl3","Gm10115","Pex5l","","Gm26871","","Auts2","Trim2","Sh3rf3","","Galntl6","","Slco3a1","Bmper","Dlgap2","","Inpp5j","Prkca","Sh3rf2","Strn","Gm50035","8030442B05Rik","Dcdc2a","","Fam129a","Slc7a2","Tafa1","","Cgnl1","Steap2","Ermn","","Mcam","Pak1","Sh3bp4","Gjc3","Pdcd4","Ugdh"
"Armc4","Cfap73","Lamc1","","Cfap77","","Cfap43","","Apoe","","Ccdc170","","Fgfr3","Atp1b2","Ermn","","Calm2","Chchd2","Itm2a","","Wfdc1","Fendrr","Golga7b","","Fhod3","Gm12709","Sulf1","Tle4","Ror2","Gm4128","Rnf152","","Kcnh7","Cnih3","Chrm3","","Dpp6","","Ezh2","Nrxn3","Hcn1","","Slc8a1","","Clic6","Trpc5","Unc13c","","Ppp1r12b","Plppr5","Ppp1r2","Zfp618","Ctss","Ctss","Col4a5","","Gm49267","Col12a1","Trpc4","","Folr2","Tbc1d2","Tspan2","","Mbp","Phldb1","Lpcat2","Tnr","Neu4","March1"
"Hydin","Adgb","Rapgef5","","Tmem232","","Zfp474","","Tprkb","","Fbxl13","","Sparc","Hdac8","Fnbp1","","Ndufa13","","Atp10a","","Tie1","Ly6a","Elavl2","","Srrm4","Hecw1","Chrm3","Galnt9","Klhl1","Gm15680","Nell1os","","Runx2","A830082K12Rik","Ptprd","","Sema5b","","Sox11","Clasp1","Btbd11","","Gm20642","","Rerg","Tac1","Gprin3","","Prkca","Fam171b","Drd3","Sergef","Lcp2","Hk2","Fbxl7","","Col12a1","Bmp5","Prmt8","","Msx1","Folr2","Dock10","","D7Ertd443e","Sept4","Chst11","Ptprj","Plxnb3","Chst11"
"Cfap221","Ak8","Sntb1","","Vwa3a","","Ccdc170","","Phkg1","","Dnah9","","Frmpd1","Frmpd1","Mobp","","Atp6v0c","","Ets1","","She","Slfn5","Klhl33","","Gm32647","Ctif","Igsf21","Sdk1","Gdpd5","Gm29478","Klhl33","","Fhl2","Mlip","Mlip","","Etl4","","Plppr3","Rbmx","Gria4","","Sntg1","","Slco5a1","Slco3a1","Cpne5","","Adarb2","Epha5","Fign","Cacna1h","8030442B05Rik","Irf8","Sned1","","Pde5a","Crispld1","Chrm3","","F5","Wdr72","Hapln2","","Aspa","Plekhh1","Prkcq","A930009A15Rik","Frmd4a","Galnt10"
"Dnah11","Gm34081","9530026P05Rik","","Cfap61","","Dthd1","","Mir99ahg","","Daw1","","Mcc","Sat1","Hapln2","","Rpl11","","Car4","","Itm2a","Ndufa4l2","Kitl","","Adgra1","Hdac9","Sh3gl2","Glp2r","Prkcq","Cnnm2","Kitl","","L3mbtl4","Fam135b","Opcml","","Phactr1","","Dclk2","","Cntnap5c","","Trhde","","Pld5","Ephb1","Ano3","","Zmat4","Gm13944","Sema5b","Sema5b","Pik3ap1","Tbxas1","Eva1c","","Abcb1a","Mrc2","Vwa5b2","","Steap2","Tbc1d9","Mast3","","Arhgap23","Adamts4","Gm32509","Itpr2","Mpzl1","Scfd2"
"Cfap43","Zmynd12","Utrn","","Ccdc146","","Ttc21a","","Prdm16","","Armc4","","Wdr17","Gli2","Gatm","","Uchl1","","Lef1","","Pecam1","Cd59a","Slit1","","Cpne9","","Prickle1","Cdh11","Armh4","A330008L17Rik","Kcnh5","","A830082K12Rik","","Cnksr2","","Inpp4b","","Nrxn3","","6330576A10Rik","","Grik1","","Vat1l","Ogt","Spock3","","Cacna2d1","Eml5","Wscd2","2010300C02Rik","Blnk","Capn3","Apod","","Anxa3","Foxd1","Kcnh7","","Gm29538","Car12","Plcl1","","Sox10","Fam102a","Olfm2","Epb41l2","Ust","Nova1"
"Ect2l","Wdr90","Tbc1d1","","Cfap43","","Ttll6","","Cspg5","","Gm16201","","Gjb6","Pnpla7","St6galnac3","","Slc25a4","","Fn1","","Gm35572","Ly75","Lrrc3b","","Elavl2","","Pde1a","Cdh18","Cnnm2","Elfn1","Sema5a","","Nectin1","","Car10","","Gm48893","","Pbx1","","Srrm4","","Cadps","","Grin3a","Runx1t1","Osbpl8","","Sh3bgrl2","Trhde","Adamts3","Zfyve28","Hk2","Cx3cr1","Rbpms","","Clec2d","Fam129a","Cntn4","","Slc29a4","9330185C12Rik","Ninj2","","Enpp2","Galnt6","Sh3d19","4933423P22Rik","Nfasc","Brinp3"
"Jhy","Spag17","Pld1","","Ttll6","","Lmntd1","","Luzp2","","Maats1","","F3","Gm14858","Tmeff2","","Rpl13","","Acvrl1","","Paqr5","Itm2a","Nr2f2","","Scn9a","","Adcy1","Oprm1","Car10","Enox2","Gm12296","","Cnr1","","Miat","","Msra","","Etv1","","Zmat4","","Agbl4","","Fat3","Csrnp3","A330015K06Rik","","Slco5a1","Grm4","Pcdh15","Sipa1l2","Fli1","Ccr5","Dab2","","Slc12a7","Sh3pxd2a","Fam135b","","Gm29266","Crhr2","Sox10","","Prr5l","Cnp","Pcdh15","Asap3","Asap3","Cntn1"
"C230072F16Rik","Ccdc40","Cobll1","","Fam216b","","Lrrc71","","Gm3764","","Spag16","","Sash1","Trim9","Dock10","","Ndufa4","","Pglyrp1","","Slfn5","Hspb1","Nefm","","Adamts17","","Gm45904","Gm44643","Apba1","Gm27151","Grk5","","Efcab6","","Fam135b","","Kcnd2","","Gng2","","Kcnip1","","Nrg3os","","Cacng3","Rasgrf1","Zfp385b","","Auts2","C1qtnf4","Gm20754","Osbpl8","Irf8","Plcg2","Cald1","","Hmcn1","Hs3st1","Car10","","Atp2b3","Chil1","Gatm","","Adamts4","Gpr37","Gm2164","Srpk3","Igsf9b","4932443L11Rik"
